stop_id,stop_name,route_name,latitude,longitude
IDFM:472503,Les Pavillons-sous-Bois,T4,48.90265477549249,2.512006944311881
IDFM:470693,Lycée Henri Sellier,T4,48.91596819231036,2.515170468742955
IDFM:472642,Lycée Henri Sellier,T4,48.91595864752934,2.5150341111104293
IDFM:478654,Maurice Audin,T4,48.908383072890395,2.539197627721811
IDFM:478657,Maurice Audin,T4,48.90848199184545,2.5391967519797514
IDFM:478649,Notre-Dame-des-Anges,T4,48.900928874629386,2.5561234945096047
IDFM:478652,Notre-Dame-des-Anges,T4,48.90092847016551,2.556014372564688
IDFM:471837,Remise à Jorelle,T4,48.89312070600031,2.487969467567442
IDFM:472376,Remise à Jorelle,T4,48.89304870590511,2.4879565369580985
IDFM:478650,République - Marx Dormoy,T4,48.90656130852811,2.524070941477672
IDFM:478662,République - Marx Dormoy,T4,48.90658774434411,2.5239342778690173
IDFM:478655,Romain Rolland,T4,48.90477431674464,2.5479602585141476
IDFM:478659,Romain Rolland,T4,48.90472020628351,2.547919803388255
IDFM:471289,Rougemont Chanteloup,T4,48.930967005263184,2.5148669130183867
IDFM:472618,Rougemont Chanteloup,T4,48.931030062759795,2.5148936222347817
IDFM:28856,Alcide d'Orbigny,T5,48.96582548255011,2.363595286356353
IDFM:28859,Alcide d'Orbigny,T5,48.965399304705166,2.3629312701804097
IDFM:28866,Baudelaire,T5,48.94212854286052,2.356636169972587
IDFM:28867,Baudelaire,T5,48.9421651710353,2.356758582444055
IDFM:28850,Butte Pinson (Parc Régional),T5,48.973607721805635,2.3659861231439723
IDFM:28853,Butte Pinson (Parc Régional),T5,48.97362642763888,2.366122494734763
IDFM:479383,Garges - Sarcelles,T5,48.97717984665593,2.3906824255995547
IDFM:479384,Garges - Sarcelles,T5,48.97713460937024,2.3906283124533076
IDFM:28864,Guynemer,T5,48.948194399075575,2.357516863437206
IDFM:28865,Guynemer,T5,48.94819374051071,2.3573939918117484
IDFM:28855,Jacques Prévert,T5,48.97086473970564,2.3659376221571997
IDFM:28861,Jacques Prévert,T5,48.970847333356595,2.3660471084241474
IDFM:28849,Joncherolles,T5,48.95556399635663,2.358368020340215
IDFM:28858,Joncherolles,T5,48.95556348483242,2.358272439968033
IDFM:28874,Les Cholettes,T5,48.977453138205156,2.372182282944555
IDFM:28876,Les Cholettes,T5,48.97755219236446,2.3722084084835706
IDFM:28868,Les Flanades,T5,48.9766714162375,2.377478440264173
IDFM:28872,Les Flanades,T5,48.97663544849064,2.3774788710389014
IDFM:28869,Lochères,T5,48.978563000308895,2.385065101404375
IDFM:28870,Lochères,T5,48.97849099485918,2.385052292086106
IDFM:28852,Mairie de Pierrefitte,T5,48.96354125320171,2.3601952566268714
IDFM:28854,Mairie de Pierrefitte,T5,48.96347860041045,2.3602506568960244
IDFM:28846,Marché de Saint-Denis,T5,48.93896122921449,2.3562931195300902
IDFM:490553,Marché de Saint-Denis,T5,48.93898754608964,2.356169935832105
IDFM:28873,Paul Valéry,T5,48.979302567383094,2.380247523132252
IDFM:28875,Paul Valéry,T5,48.97923034972888,2.3801937385465597
IDFM:28851,Petit Pierrefitte,T5,48.95269302854845,2.357939191024479
IDFM:28860,Petit Pierrefitte,T5,48.95269354033968,2.3580347661176333
IDFM:28862,Roger Semât,T5,48.9448196998411,2.3570670634015802
IDFM:28863,Roger Semât,T5,48.94482803299838,2.356944088576183
IDFM:28848,Suzanne Valadon,T5,48.959135825225516,2.358692660794154
IDFM:28857,Suzanne Valadon,T5,48.95912749038548,2.358815669177408
IDFM:2337,Centre de Châtillon,T6,48.80417425521201,2.289075082231418
IDFM:41952,Centre de Châtillon,T6,48.8042278099247,2.2890062736651298
IDFM:2336,Châtillon - Montrouge,T6,48.810661391055,2.3001665287150472
IDFM:482428,Châtillon - Montrouge,T6,48.81070683539769,2.300247623254254
IDFM:2328,Dewoitine,T6,48.783569174000206,2.214444234350852
IDFM:2335,Dewoitine,T6,48.78364966674295,2.2143749701705326
IDFM:41855,Division Leclerc,T6,48.79444316830182,2.272708519795419
IDFM:41856,Division Leclerc,T6,48.794523611181916,2.2726257190335915
